Experiment_id,Artist,Title,AVG_Valence,AVG_Arousal,STD_Valence,STD_Arousal,Highlight_start,track_id
2,Lustra,Scotty Doesn't Know,0.23215000000000008,0.4821500000000001,0.5129,0.4952,141,1
3,Jackson 5,Blame It On The Boogie,0.483325,0.3666750000000001,0.5807,0.4819,21,2
4,The B52'S ,Love Shack,0.5,0.233325,0.428175,0.495525,181,3
6,Blink 182 ,First Date,0.28332500000000005,0.30000000000000004,0.3749,0.4,51,4
9,Queen,I Want To Break Free,0.516675,0.3500000000000001,0.460675,0.498325,6,5
14,Jason Mraz,I'm Yours,0.516675,-0.06667500000000004,0.359,0.5281,6,6
19,Manu Chao ,Me Gustas Tu,0.6333249999999999,-0.13332499999999992,0.314475,0.396525,46,7
18,Louis Armstrong ,What A Wonderful World ,0.533325,-0.28332500000000005,0.351975,0.464275,86,8
22,Porcupine Tree,Normal,-0.19999999999999996,-0.31667500000000004,0.3559,0.45155,126,9
24,James Blunt,Goodbye My Lover,-0.416675,-0.516675,0.337475,0.42295,186,10
27,Madonna,Rain,-0.1666749999999999,-0.46667499999999995,0.505525,0.445975,31,11
29,Christina Aguilera ,Hurt,-0.390625,-0.34375,0.33035,0.458225,181,12
30,Enya ,May It Be (Saving Private Ryan),-0.44999999999999996,-0.333325,0.4397,0.4714,86,13
32,Marilyn Manson,The Beautiful People,-0.0833250000000001,0.3500000000000001,0.372675,0.481325,6,14
36,Sepultura ,Refuse Resist,-0.016674999999999995,0.566675,0.5735,0.335,6,15
37,Cradle Of Filth ,Scorched Earth Erotica,-0.43332499999999996,0.21667499999999995,0.402775,0.5691,6,16
